Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-02-06/Shang%20Hai/Su%20Zhou/D1345,4999,0,17,20.569594889010315,13.088440988212824,455.5730312131345,826.0,88.99684081615342,0.0,17,19,20,23,31,230,230,240,460
GET,/api/v1/stationservice/stations,100,0,4,4.150763992220163,3.1374339014291763,11.161809787154198,705.0,1.780292874898048,0.0,4,4,5,6,6,11,11,11,11
GET,/api/v1/trainservice/trains,100,0,6,8.300106092356145,4.097574856132269,14.525126200169325,567.0,1.780292874898048,0.0,7,12,13,13,13,15,15,15,15
POST,/api/v1/travelplanservice/travelPlan/cheapest,5003,0,180.0,184.8714953171532,152.74399565532804,601.1488800868392,417.0,89.06805253114935,0.0,180,190,190,210,380,390,400,420,600
,Aggregated,10202,0,31,100.8610647843891,3.1374339014291763,601.1488800868392,621.7040776318369,181.62547909709886,0.0,31,180,190,200,240,380,390,410,600
