Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-01-22/Shang%20Hai/Su%20Zhou/D1345,256,0,20,30.840350502330693,14.94915084913373,241.43894761800766,826.0,4.57516453695237,0.0,20,22,26,45,230,240,240,240,240
GET,/api/v1/stationservice/stations,9,0,5,5.85241269113289,4.001420922577381,15.11477306485176,705.0,0.16084562825223175,0.0,5,5,15,15,15,15,15,15,15
GET,/api/v1/trainservice/trains,9,0,14,14.72559498829974,11.585797183215618,21.09060436487198,567.0,0.16084562825223175,0.0,14,20,21,21,21,21,21,21,21
POST,/api/v1/travelplanservice/travelPlan/cheapest,256,0,200.0,252.9841550222045,165.177705232054,621.6268921270967,417.0,4.57516453695237,0.0,200,390,410,440,610,620,620,620,620
,Aggregated,530,0,170.0,137.44202921395453,4.001420922577381,621.6268921270967,621.9924528301887,9.472020330409203,0.0,170,210,390,410,440,610,620,620,620
