Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-01-24/Shang%20Hai/Su%20Zhou/D1345,853842,5,18,22.673593032793857,11.046064086258411,7262.47577322647,825.9951630395319,73.73768774004355,0.00043179937119539416,18,22,28,48,74,92,160,240,7300
GET,/api/v1/foodservice/foods/2024-01-25/Shang%20Hai/Su%20Zhou/D1345,2546150,37,19,32.989668946288965,2.3971842601895332,75021.82372706011,825.9883050880742,219.88519379383058,0.003195315346845917,19,23,32,61,230,280,490,1200,75000
GET,/api/v1/stationservice/stations,18759,0,5,8.89206643682147,3.041270188987255,1034.6395559608936,705.0,1.62002488085088,0.0,5,7,14,31,50,63,85,330,1000
GET,/api/v1/trainservice/trains,18759,0,6,7.929655442918801,4.182334057986736,1030.7716857641935,567.0,1.62002488085088,0.0,6,8,9,10,15,20,37,220,1000
POST,/api/v1/travelplanservice/travelPlan/cheapest,3401585,1099,240.0,327.6347642471476,2.0006210543215275,75204.18441807851,416.8814279225714,293.760452813537,0.09490950178874764,240,410,550,740,1000,1300,1600,3300,75000
,Aggregated,6839095,1141,170.0,178.11557959529597,2.0006210543215275,75204.18441807851,621.4679785848858,590.6233841091129,0.09853661650678895,170,270,410,560,820,1100,1300,2700,75000
