Count,Message,Traceback,Nodes
1,Expecting value: line 1 column 1 (char 0),"  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/locust/user/task.py"", line 343, in run
    self.execute_next_task()
  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/locust/user/task.py"", line 376, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/locust/user/task.py"", line 497, in execute_task
    task(self.user)
  File ""/home/projects/microkube-python-v2/autoscaler/locust/train_ticket/locustfile.py"", line 669, in test_task
    _ = self.query_train_foods(
  File ""/home/projects/microkube-python-v2/autoscaler/locust/train_ticket/locustfile.py"", line 385, in query_train_foods
    resp_json_dict = resp.json()
  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/requests/models.py"", line 975, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
",pclhost-27-3_c4225afdd5c44b1fac9943f7f7e45a27
2,Expecting value: line 1 column 1 (char 0),"  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/locust/user/task.py"", line 343, in run
    self.execute_next_task()
  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/locust/user/task.py"", line 376, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/locust/user/task.py"", line 497, in execute_task
    task(self.user)
  File ""/home/projects/microkube-python-v2/autoscaler/locust/train_ticket/locustfile.py"", line 662, in test_task
    ticket = self.search_travel_plan(
  File ""/home/projects/microkube-python-v2/autoscaler/locust/train_ticket/locustfile.py"", line 272, in search_travel_plan
    resp_json_dict = resp.json()
  File ""/opt/anaconda3/envs/swiftkube/lib/python3.10/site-packages/requests/models.py"", line 975, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
","pclhost-27-3_4784d6df89c140bfa60d64e802cfd9f4, pclhost-27-3_081b77001eff497abde460af205d9c7c"
