rps,p99_rt,p95_rt,p50_rt,mean_rt,action,action_p,allocation,avg_cpu_usage,overallocation_ratio
98,253.1244041956967,200.90396804735065,162.971006706357,167.7985219266172,21,0.015625,38.253442622950814,18.223544857609287,0.5236103313045148
102,242.5978309661147,197.54275726154444,161.200069822371,165.73481250005128,51,0.015625,38.94229508196722,17.713486035283605,0.5451350261200685
105,256.44881151616585,207.6356459408997,165.5027326196432,170.4500536927822,45,0.015625,37.11918032786885,17.868974523042624,0.5186053580599486
106,218.9186331816016,184.9396168254316,162.35536895692348,164.98069169867236,26,0.015625,39.20508196721311,17.887880796707652,0.5437356613189295
109,237.9280675947667,197.1385298296809,163.3682530373335,169.21206779324257,10,0.015625,41.133278688524584,19.19835844159508,0.5332645718088341
113,247.2750066407025,194.5307148620486,157.90783893316984,162.84203478080133,34,0.015625,40.746393442622946,18.854106974018038,0.537281575593495
112,320.1931631192565,243.57106536626816,170.33830750733614,179.95817039486187,16,0.015625,36.43868852459016,19.821135419088524,0.45604147071010814
118,224.31392718106505,180.68963922560212,161.29637509584427,163.58991548375167,3,0.015625,44.34360655737704,20.30823014457213,0.5420257457341698
120,269.0404546633363,223.2915377244353,167.38444473594427,174.71641401421482,48,0.015625,38.44393442622951,21.291527174312566,0.4461668012890535
124,252.4749156832695,208.69381241500375,164.479561150074,170.13867989676754,12,0.015625,41.29704918032786,21.168894137270495,0.4873993528003825
129,245.8641072362661,202.88037564605477,163.10800798237324,167.4532427404668,25,0.015625,54.14786885245902,23.047593616708745,0.5743582507465188
130,267.20507957041264,215.65708667039863,170.38266733288765,176.13096732840947,32,0.015625,39.19836065573771,22.185448833744264,0.4340210033631383
131,235.67442145198584,211.30630541592836,169.83469761908054,174.3696220573813,36,0.015625,39.239999999999995,22.056555086065575,0.43790634337243683
136,248.1067110598083,212.6079270616173,168.2354435324669,174.00269766700129,59,0.015625,41.277540983606556,23.047430368025687,0.4416472052640197
137,248.37252521887424,200.4560607485473,166.72819759696722,170.58215124624346,35,0.015625,40.42360655737705,22.667342947168308,0.4392548098103418
140,241.2141689844427,190.25911586359143,165.67758191376925,168.82806746163547,41,0.015625,58.482295081967216,25.648532837320523,0.5614308090786754
143,263.7828447297218,221.6566994786261,171.15221917629242,177.43288867127058,44,0.015625,41.41213114754098,24.47512623559673,0.408986556417538
146,280.5533418804403,231.9725757464766,175.58341100811958,182.4914782958976,39,0.015625,39.239999999999995,24.454330286885245,0.37680096108855127
149,206.18660453707005,184.6724445000291,165.58379400521517,167.7134789228257,58,0.015625,51.41868852459016,25.722054159324593,0.4997528156124901
150,247.32291430234923,211.17569878697395,174.85997918993235,178.43486437196864,46,0.015625,39.239999999999995,25.648834870504373,0.3463599676222126
154,219.4230103492737,189.03618752956388,166.25424101948738,169.12943460709965,18,0.015625,54.24803278688524,26.8044099084612,0.5058915774187979
157,260.6892379745841,217.0394577085972,171.3854968547821,177.628006795757,37,0.015625,42.01606557377049,26.492466780620763,0.3694681684531808
160,256.83273235335946,199.67408198863268,166.60060919821262,170.93970228771917,17,0.015625,68.90049180327867,29.059811541022402,0.5782350636336159
164,251.1196160130203,215.0275668129325,171.89933080226183,177.00773173586725,14,0.015625,47.52311475409836,28.400770110216392,0.40237986804585174
166,236.76745083183047,201.3588093221188,170.62264680862427,173.7851938714133,52,0.015625,46.8172131147541,27.865045552260657,0.4048119548688131
168,252.59113073349,223.10039736330504,179.54129166901112,184.31759019122427,22,0.015625,47.76081967213115,29.045179418944258,0.39186178925877246
168,305.3592098690567,260.28932733461266,193.67410335689783,200.260086212713,56,0.015625,39.551475409836065,28.72579453481858,0.27371117670935846
174,219.80178663507107,196.6827092692256,168.95622480660677,171.79799657626518,43,0.015625,53.361803278688534,29.85661277197377,0.4404871848868382
177,254.3461871519687,210.45860964804885,170.96803057938814,176.11855913887,5,0.015625,58.833770491803286,31.302080421859017,0.4679572605971256
180,263.6751218140128,201.0009415447711,169.3804431706667,174.03347992243522,1,0.015625,76.85770491803278,31.952415637798364,0.5842652903586572
184,269.26858648657765,217.09300149232143,167.8415685892105,174.08857515941614,19,0.015625,57.29114754098361,31.846855275947544,0.44412258013917977
184,268.0489298142492,222.8870239108801,175.45012384653091,182.4720892373301,60,0.015625,51.6644262295082,31.620107699932788,0.38797137590443376
188,277.83086432144074,203.06158559396863,170.4930141568184,175.17339778999582,13,0.015625,58.706229508196714,33.17757437448251,0.43485427947897465
189,257.4572922848166,227.4623529985547,184.5156578347087,188.2390913472238,15,0.015625,50.89770491803279,32.45352170395028,0.3623775029499971
186,345.5121918581426,288.1086938083172,206.9962210953236,214.6776565423611,55,0.015625,46.12131147540984,32.29305747211749,0.29982352107799576
193,261.4822311699391,222.5921932607889,184.36875194311145,188.11466306047413,6,0.015625,63.30754098360654,35.83876049290161,0.433894289115067
191,331.3551512733104,289.25117226317525,226.75440274178985,230.38671215975072,64,0.015625,44.36081967213114,33.426024067124594,0.24649669879468278
203,251.1126810871065,207.4372879229486,174.35137275606394,178.27427814788257,2,0.015625,77.30622950819672,36.60033022664044,0.5265539341462808
205,267.6365041919052,221.0622121579944,173.79934433847666,179.12465722260333,20,0.015625,60.09360655737705,35.41628984578907,0.4106479561686185
209,247.73715332150465,201.4925628900528,173.86321164667606,177.34446693537558,9,0.015625,83.26885245901639,37.30740135847486,0.5519645070545799
210,255.9336686693132,208.7665397673844,172.55691066384315,177.4877538419071,4,0.015625,67.29573770491803,36.52297783447595,0.45727650695169025
214,263.510858360678,226.5679026022553,180.9500465169549,185.84826492252137,11,0.015625,68.11688524590163,38.11739616589891,0.44041193269047324
212,272.95423276722425,226.1134729720652,186.27087585628036,189.8198380455827,30,0.015625,56.80737704918033,37.116925783268314,0.346617856495385
217,257.7933733165264,215.08304867893452,183.42507258057597,186.68253295872705,42,0.015625,73.23885245901639,39.13369498766285,0.46567028737156124
217,279.40747886896133,248.50204680114985,198.2483919709921,203.0262742783456,40,0.015625,55.70475409836066,38.88592134453224,0.30192813927749446
221,271.85048557817936,238.70810791850087,196.68259657919407,199.91886367475263,47,0.015625,55.95409836065574,38.91352593297596,0.3045455637198133
220,285.8743284642696,258.639289997518,205.0711503252387,210.3267656809188,63,0.015625,53.70081967213115,38.88650553022459,0.27586756091163867
229,257.69481753930444,223.8369564525783,186.61216367036104,190.31568818164885,57,0.015625,87.47918032786885,42.809718921200556,0.510629629121452
226,297.75911770761013,261.1648678779602,205.95049671828747,210.5912456444618,62,0.015625,58.84016393442623,40.70707949357432,0.3081752875648023
226,320.76640363782644,289.4866853952408,219.2368060350418,224.32127317076456,31,0.015625,58.2472131147541,40.65531515900984,0.30202128162056585
231,382.2109977528452,306.53583351522684,197.82038033008573,210.7117329640016,28,0.015625,66.6850819672131,41.28210751040273,0.38093939015176115
240,241.90188271924853,211.99707258492705,179.99753169715405,183.41891344975016,33,0.015625,91.24950819672131,43.46238341046722,0.5236973407377896
230,329.55896858125925,293.4453373774886,232.27642104029653,236.72194889910523,23,0.015625,60.54327868852459,42.344117207942084,0.30059755392850873
234,331.1792052909732,295.7493429072201,229.772568680346,232.4175604755003,54,0.015625,59.265573770491805,42.565723684432236,0.2817799444704674
240,319.9318400770425,273.2625260949135,217.05259196460247,221.6448345502722,29,0.015625,67.21704918032786,43.85194218598962,0.34760685390480384
243,322.6815643347799,281.79517146199936,220.6527618691325,225.7901259712769,38,0.015625,64.81967213114753,44.77610148848252,0.30922048791162515
250,281.28604628145695,251.35982409119603,197.4298106506467,202.6129033891132,27,0.015625,74.06278688524591,45.09457743120698,0.39113042692982575
254,259.2799816839397,223.81719071418044,184.74881164729595,188.948742418382,50,0.015625,80.83442622950818,45.245058289446455,0.4402748878184035
