Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-01-32/Shang%20Hai/Su%20Zhou/D1345,14082,0,31,39.26636604661647,15.122191980481148,1518.9652610570192,826.0,79.91142357367549,0.0,31,42,52,61,96,250,260,700,1500
GET,/api/v1/stationservice/stations,100,0,6,8.094440717250109,4.037763923406601,35.619551315903664,705.0,0.5674721174099949,0.0,6,8,16,20,33,36,36,36,36
GET,/api/v1/trainservice/trains,100,0,9,12.017454584129155,5.425117909908295,45.94856221228838,567.0,0.5674721174099949,0.0,9,15,18,35,40,46,46,46,46
POST,/api/v1/travelplanservice/travelPlan/cheapest,14084,0,280.0,320.2419090935446,198.78371804952621,1532.791138626635,417.0,79.92277301602368,0.0,280,360,480,520,690,730,840,1200,1500
,Aggregated,28366,0,220.0,178.56755284044536,4.037763923406601,1532.791138626635,621.5878163999154,160.96914082451917,0.0,220,290,370,480,540,690,730,1000,1500
