Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-01-18/Shang%20Hai/Su%20Zhou/D1345,3788,0,25,30.09401437572726,14.159411191940308,1063.556513749063,826.0,21.473548723754476,0.0,25,31,35,43,130,150,230,290,1100
GET,/api/v1/stationservice/stations,84,0,6,6.590830572392969,3.4162290394306183,25.235357228666544,705.0,0.47618217866826185,0.0,6,8,10,12,16,25,25,25,25
GET,/api/v1/trainservice/trains,84,0,9,12.241877676431267,4.86031174659729,36.90948709845543,567.0,0.47618217866826185,0.0,9,17,22,25,28,37,37,37,37
POST,/api/v1/travelplanservice/travelPlan/cheapest,3790,0,250.0,274.48058925780384,184.9184869788587,5325.655454304069,417.0,21.484886394675147,0.0,250,280,350,460,490,560,690,1300,5300
,Aggregated,7746,0,130.0,149.22017909052838,3.4162290394306183,5325.655454304069,621.7616834495224,43.91079947576615,0.0,130,250,280,350,470,490,560,990,5300
