Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-04-03/Shang%20Hai/Su%20Zhou/D1345,13933242,2502,19,53.54009794305968,1.8708109855651855,75966.55224449933,825.8794278460102,183.83791813462125,0.03301187700413316,19,23,27,45,180,560,1300,7300,76000
GET,/api/v1/foodservice/foods/2024-04-04/Shang%20Hai/Su%20Zhou/D1345,7635738,1989,19,53.990174764179315,1.8903501331806183,79451.32211782038,825.8247276163745,100.74741954108143,0.026243254740695787,19,22,26,34,150,430,1400,8200,79000
GET,/api/v1/stationservice/stations,190486,21,5,10.269846311123315,2.9555708169937134,7770.9491811692715,704.9395861113153,2.5133095135928496,0.00027707810435123755,5,6,8,20,49,74,160,860,7800
GET,/api/v1/trainservice/trains,190592,104,6,7.5598208120074295,1.847200095653534,4778.383823111653,566.7762760241773,2.514708098310051,0.0013721963263108909,6,7,8,10,13,18,28,220,4800
POST,/api/v1/travelplanservice/travelPlan/cheapest,21580252,1882,220.0,257.06993362288216,2.0461920648813248,75455.04870265722,416.9681079257091,284.734062646762,0.024831475828049003,220,260,330,430,620,920,1300,3400,75000
,Aggregated,43530310,6498,170.0,154.12876735625196,1.847200095653534,79451.32211782038,621.4874228095321,574.3474179343676,0.08573588200354008,170,230,260,370,500,800,1300,5400,79000
