Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706662163,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1706662223,10,GET,/api/v1/foodservice/foods/2024-01-32/Shang%20Hai/Su%20Zhou/D1345,2.600000,0.000000,0,0,0,0,0,0,0,0,0,70,0,160.0,416.7388982139528,110.33220496028662,1480.8286549523473,826.0
1706662223,10,GET,/api/v1/stationservice/stations,0.100000,0.000000,35,450,450,450,450,450,450,450,450,9,0,27,121.47730097381606,18.776056822389364,453.66143668070436,705.0
1706662223,10,GET,/api/v1/trainservice/trains,0.100000,0.000000,45,450,460,460,460,460,460,460,460,9,0,39,169.1434833014177,24.96156096458435,461.9830842129886,567.0
1706662223,10,POST,/api/v1/travelplanservice/travelPlan/cheapest,2.600000,0.000000,0,0,0,0,0,0,0,0,0,70,0,2000.0,2763.5560186845914,1303.275945596397,11891.404855065048,417.0
1706662223,10,,Aggregated,5.400000,0.000000,970,2200,3000,3900,6500,11000,12000,12000,12000,158,0,930.0,1425.545767350476,18.776056822389364,11891.404855065048,623.1518987341772
1706662283,31,GET,/api/v1/foodservice/foods/2024-01-32/Shang%20Hai/Su%20Zhou/D1345,12.600000,0.000000,99,120,140,160,250,440,820,1000,1000,545,0,100.0,153.4712742125496,62.75568716228008,1480.8286549523473,826.0
1706662283,31,GET,/api/v1/stationservice/stations,0.400000,0.000000,22,34,150,220,220,220,220,220,220,27,0,25,67.88743996164865,8.21377569809556,453.66143668070436,705.0
1706662283,31,GET,/api/v1/trainservice/trains,0.400000,0.000000,30,41,62,77,77,77,77,77,77,27,0,32,80.27648472192662,20.0267699547112,461.9830842129886,567.0
1706662283,31,POST,/api/v1/travelplanservice/travelPlan/cheapest,12.500000,0.000000,1100,1300,1400,1700,2100,2300,2900,3500,3500,548,0,1100.0,1345.0980837648924,748.8327049650252,11891.404855065048,417.0
1706662283,31,,Aggregated,25.900000,0.000000,190,1100,1200,1400,1700,2100,2300,3500,3500,1147,0,540.0,719.0549436054553,8.21377569809556,11891.404855065048,621.6477768090672
1706662343,96,GET,/api/v1/foodservice/foods/2024-01-32/Shang%20Hai/Su%20Zhou/D1345,45.900000,0.000000,72,88,120,180,280,300,320,500,620,2420,0,78,99.33607643373958,41.26265086233616,1480.8286549523473,826.0
1706662343,96,GET,/api/v1/stationservice/stations,1.600000,0.000000,12,18,22,26,37,41,41,41,41,87,0,16,30.625126774198023,5.768429953604937,453.66143668070436,705.0
1706662343,96,GET,/api/v1/trainservice/trains,1.600000,0.000000,11,20,38,40,43,130,130,130,130,87,0,15,36.592301286371615,6.714229937642813,461.9830842129886,567.0
1706662343,96,POST,/api/v1/travelplanservice/travelPlan/cheapest,45.900000,0.000000,690,830,920,1000,1100,1300,1400,1900,5700,2426,0,750.0,869.975450872317,500.8081798441708,11891.404855065048,417.0
1706662343,96,,Aggregated,95.000000,0.000000,200,730,830,920,1000,1100,1300,1700,5700,5020,0,260.0,469.4824033918646,5.768429953604937,11891.404855065048,621.7581673306773
1706662403,100,GET,/api/v1/foodservice/foods/2024-01-32/Shang%20Hai/Su%20Zhou/D1345,82.900000,0.000000,42,56,64,71,86,170,270,290,500,6768,0,53,65.16726425877523,19.385141786187887,1480.8286549523473,826.0
1706662403,100,GET,/api/v1/stationservice/stations,0.000000,0.000000,7,8,9,12,12,12,12,12,12,100,0,14,27.607447374612093,5.596259143203497,453.66143668070436,705.0
1706662403,100,GET,/api/v1/trainservice/trains,0.000000,0.000000,12,16,16,130,130,130,130,130,130,100,0,14,34.50723497662693,6.714229937642813,461.9830842129886,567.0
1706662403,100,POST,/api/v1/travelplanservice/travelPlan/cheapest,82.400000,0.000000,460,540,600,710,780,860,970,1400,2100,6770,0,530.0,598.7647450458193,202.6661611162126,11891.404855065048,417.0
1706662403,100,,Aggregated,165.300000,0.000000,220,480,540,600,720,780,860,1200,2100,13738,0,220.0,327.62416921667716,5.596259143203497,11891.404855065048,621.6813218809142
1706662463,100,GET,/api/v1/foodservice/foods/2024-01-32/Shang%20Hai/Su%20Zhou/D1345,94.100000,0.000000,21,25,27,30,33,37,42,52,72,12089,0,31,46.12324187146565,14.665944036096334,1480.8286549523473,826.0
1706662463,100,GET,/api/v1/stationservice/stations,0.000000,0.000000,0,0,0,0,0,0,0,0,0,100,0,14,27.607447374612093,5.596259143203497,453.66143668070436,705.0
1706662463,100,GET,/api/v1/trainservice/trains,0.000000,0.000000,0,0,0,0,0,0,0,0,0,100,0,14,34.50723497662693,6.714229937642813,461.9830842129886,567.0
