Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-01-22/Shang%20Hai/Su%20Zhou/D1345,263,0,21,22.689483725171918,15.470374841243029,230.46373995020986,826.0,4.691730190068795,0.0,21,23,25,32,39,43,43,230,230
GET,/api/v1/stationservice/stations,9,0,5,5.975567890952031,3.6130868829786777,17.415504902601242,705.0,0.16055350460311466,0.0,5,5,17,17,17,17,17,17,17
GET,/api/v1/trainservice/trains,9,0,13,14.707475745429596,11.009760200977325,20.09661216288805,567.0,0.16055350460311466,0.0,13,18,20,20,20,20,20,20,20
POST,/api/v1/travelplanservice/travelPlan/cheapest,263,0,200.0,237.34744031605499,166.4280453696847,635.602958034724,417.0,4.691730190068795,0.0,200,240,410,420,430,600,620,640,640
,Aggregated,544,0,34,126.05856326391564,3.6130868829786777,635.602958034724,621.9797794117648,9.704567389343818,0.0,35,200,240,410,420,430,600,640,640
