Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
GET,/api/v1/foodservice/foods/2024-01-19/Shang%20Hai/Su%20Zhou/D1345,205,0,26,43.3178629294583,16.538587864488363,1759.0376371517777,826.0,3.65677718004699,0.0,26,30,39,51,170,630,700,1800,1800
GET,/api/v1/stationservice/stations,9,0,6,6.8664040106038255,4.907082300633192,16.562409233301878,705.0,0.1605414371727947,0.0,6,7,17,17,17,17,17,17,17
GET,/api/v1/trainservice/trains,9,0,21,821.0095912735495,14.414205681532621,7229.332508984953,567.0,0.1605414371727947,0.0,21,24,7200,7200,7200,7200,7200,7200,7200
POST,/api/v1/travelplanservice/travelPlan/cheapest,205,0,280.0,429.7124823305483,181.8364793434739,15601.746183820069,417.0,3.65677718004699,0.0,280,340,370,430,1800,3800,7400,16000,16000
,Aggregated,428,0,60,243.976880223969,4.907082300633192,15601.746183820069,622.1098130841121,7.63463723443957,0.0,60,300,340,380,920,3500,7200,16000,16000
