Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1705896394,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1705896454,10,GET,/api/v1/foodservice/foods/2024-01-23/Shang%20Hai/Su%20Zhou/D1345,1.600000,1.600000,2,4,5,11,11,12,12,12,12,73,73,2.1141706965863705,3.6485304622209234,2.1141706965863705,11.70890498906374,157.0
1705896454,10,GET,/api/v1/stationservice/stations,0.100000,0.000000,5,6,10,10,10,10,10,10,10,9,0,5,5.277609918266535,3.9263288490474224,10.161720681935549,705.0
1705896454,10,GET,/api/v1/trainservice/trains,0.100000,0.000000,22,370,510,510,510,510,510,510,510,9,0,22,116.55037172345652,11.908057145774364,513.2026169449091,567.0
1705896454,10,POST,/api/v1/travelplanservice/travelPlan/cheapest,1.600000,0.000000,620,1100,1500,2100,2300,2900,2900,2900,2900,73,0,620.0,794.6597027770971,300.987065769732,2911.5813188254833,417.0
1705896454,10,,Aggregated,3.400000,1.600000,12,640,960,1300,2100,2300,2900,2900,2900,164,73,12,362.03020037344953,2.1141706965863705,2911.5813188254833,325.3048780487805
1705896514,31,GET,/api/v1/foodservice/foods/2024-01-23/Shang%20Hai/Su%20Zhou/D1345,20.100000,0.000000,33,59,79,110,380,770,970,1200,1200,786,73,31,53.34401317651718,2.1141706965863705,1187.8232839517295,763.8664122137404
1705896514,31,GET,/api/v1/stationservice/stations,0.400000,0.000000,14,28,45,580,580,580,580,580,580,27,0,9,33.739116853447975,3.9263288490474224,580.2444266155362,705.0
1705896514,31,GET,/api/v1/trainservice/trains,0.400000,0.000000,22,24,31,33,33,33,33,33,33,28,0,22,52.569047132107826,11.908057145774364,513.2026169449091,567.0
1705896514,31,POST,/api/v1/travelplanservice/travelPlan/cheapest,20.100000,0.000000,420,600,740,870,1200,1300,1400,2400,2400,786,0,430.0,512.1705056880257,287.88726683706045,2911.5813188254833,417.0
1705896514,31,,Aggregated,41.000000,0.000000,200,450,610,760,910,1200,1300,1700,2400,1627,73,150.0,274.66336896267535,2.1141706965863705,2911.5813188254833,591.9311616472035
1705896574,96,GET,/api/v1/foodservice/foods/2024-01-23/Shang%20Hai/Su%20Zhou/D1345,69.800000,0.000000,17,20,23,29,130,140,140,190,230,3592,73,18,28.480687828678512,2.1141706965863705,1187.8232839517295,812.4039532293987
1705896574,96,GET,/api/v1/stationservice/stations,1.500000,0.000000,5,6,7,8,15,170,170,170,170,85,0,6,16.4681595421451,3.9263288490474224,580.2444266155362,705.0
1705896574,96,GET,/api/v1/trainservice/trains,1.500000,0.000000,6,12,14,17,18,18,18,18,18,85,0,8,22.886300552636385,5.262582097202539,513.2026169449091,567.0
1705896574,96,POST,/api/v1/travelplanservice/travelPlan/cheapest,70.300000,0.000000,220,260,290,320,380,430,460,1200,1400,3595,0,230.0,295.09386600284046,183.02971264347434,2911.5813188254833,417.0
1705896574,96,,Aggregated,143.100000,0.000000,130,220,260,290,330,380,430,610,1400,7357,73,130.0,158.5578643562432,2.1141706965863705,2911.5813188254833,615.113497349463
1705896634,100,GET,/api/v1/foodservice/foods/2024-01-23/Shang%20Hai/Su%20Zhou/D1345,89.600000,0.000000,17,18,21,25,31,36,43,130,170,8739,73,17,22.332662171131634,2.1141706965863705,1187.8232839517295,820.4116031582561
1705896634,100,GET,/api/v1/stationservice/stations,0.000000,0.000000,5,6,6,7,7,7,7,7,7,100,0,5,14.75484708789736,3.9263288490474224,580.2444266155362,705.0
1705896634,100,GET,/api/v1/trainservice/trains,0.000000,0.000000,6,7,8,9,9,9,9,9,9,100,0,7,20.379106989130378,4.868887830525637,513.2026169449091,567.0
1705896634,100,POST,/api/v1/travelplanservice/travelPlan/cheapest,89.400000,0.000000,220,300,370,530,710,780,1200,2500,5200,8742,0,220.0,279.57642957818734,175.05448497831821,5203.4169510006905,417.0
1705896634,100,,Aggregated,179.000000,0.000000,54,240,290,370,600,710,780,1700,5200,17681,73,130.0,149.4675458115342,2.1141706965863705,5203.4169510006905,618.8672020813302
